course_name,prerequisites,corequisites
ARO 4821L - Space Vehicle Design Laboratory II (2),ARO Major; C or better in ARO 4811L ; or C or better in ARO 481L and ARO 482L.,
STA 1200 - Statistics with Applications (3),"SAT, ELM, ALEKS, ACT, IRW, GE Area B4; C or better in MAT 106, MAT 1060 , MAT 125, MAT 1250 , MAT 191, MAT 1910 , MAT 105, MAT 1050 , or STA 1300 ; or C- or better in MAT 1051 .",
CHM 3140L - Organic Chemistry Laboratory I (1),C- or better in CHM 3140 or CHM 315; CHM 3140 can be concurrent.,
FST 3220 - Food Laws and Regulations (3),C- or better in FST 1250 or FST 125; and C or better in ENG 2105 or ENG 130.,
EC 2201 - Principles of Microeconomics (3),"C or better in MAT 12, ESM 12, MAT 1050 , MAT 105, STA 1200 , STA 120, MAT 1250 , MAT 125, MAT 1140 , MAT 114, ALEKS score >45, MDTP score >23, or SAT Math>=570, or ACT>=23.",
"PHY 1220L - Electromagnetism, Circuits, and Light Laboratory (1)",,PHY 1220 .
ANT 3970 - Cultural Resource Management (3),Junior or Senior Standing.,
ANT 3940L - Field Archaeology Laboratory (1),ANT 1030 or Instructor consent.,ANT 3940 .
ANT 4900L - Methods in Anthropology Laboratory (1),ANT 1020 or ANT 1120 ; Upper Division standing; and GE Area D1/D2 or Instructor consent.,ANT 4900 .
AMM 4530 - Fashion Supply Chain Management (3),Senior Standing.,
AMM 4570 - Dynamics of the Global Apparel Complex (3),Senior Standing.,
AMM 3300 - Apparel Brand Development (3),AMM 2300.,
AMM 3920 - Fashion Operations Management (3),AMM 381 or AMM 3810 ; and AMM 381L or AMM 3810L .,
AMM 2150 - Apparel/Textile Sustainability (3),,
AMM 3900A - CAD for Patternmaking Activity (3),AMM 314 or AMM 3140 ; AMM 314A or AMM 3140A ; AMM 381 or AMM 3810 ; and AMM 381L or AMM 3810L .,
AMM 3140A - Apparel Technical Design Activity (2),AMM 310 or AMM 3100 ; and AMM 310A or AMM 3100A .,AMM 3140 .
AMM 3140 - Apparel Technical Design (1),AMM 310 or AMM 3100 ; and AMM 310A or AMM 3100A .,AMM 3140A .
AMM 3120A - Textile and Apparel Digital Design Activity (3),"AMM 1120 or AMM 210, and AMM 210A or AMM 1120L ; and AMM 260 or AMM 2600 ; and AMM 260L or AMM 2600L .",
AMM 4920L - Apparel Production Simulation Laboratory (3),AMM 414 or AMM 4140L ; and AMM 4140L or AMM 414A.,
AMM 4710 - Apparel Wholesale Operations (3),Senior Standing; and AMM 350 or AMM 3500 .,
AMM 4500 - Fashion Retail Planning and Allocation (3),AMM 350 or AMM 3500 .,
AMM 3500 - Fashion Retail Buying II (3),AMM 250 or AMM 2500 .,
AMM 4960 - International Fashion Retailing (3),Senior Fashion Retail Standing.,
AMM 4700 - Fashion Store Planning and Category Management (3),"AMM 3550 , TOM 302, or TOM 3020 .",
AMM 3750 - Digital Commerce for Fashion Business (3),AMM 296 or AMM 2200 .,
AMM 4970A - Fashion Retail Simulation Activity (3),Senior Fashion Retail Standing.,
AMM 2700A - Visual Merchandising for Fashion Activity (1),AMM 210 or AMM 1200 ; and AMM 210A or AMM 1120L .,AMM 2700 .
AMM 4810L - Advanced Apparel Production Laboratory (1),AMM 381 or AMM 3810 ; and AMM 381L or AMM 3810L .,AMM 4810 .
AMM 2700 - Visual Merchandising for Fashion (2),AMM 210 or AMM 1120 ; and AMM 210A or AMM 1120L .,AMM 2700A .
AMM 4810 - Advanced Apparel Production (2),AMM 381 or AMM 3810 ; and AMM 381L or AMM 3810L .,AMM 4810L .
PHY 1020 - Fundamentals of Physics (3),,
CHM 1010 - Chemistry in Our World (2),,
AMM 4140L - Apparel Product Development Simulation Laboratory (3),AMM 381 or AMM 3810 ; AMM 381L or AMM 3810L ; and AMM 3140 and AMM 3140A or AMM 3920 .,
CHM 1010L - Chemistry in Our World Laboratory (1),CHM 1010 or concurrent enrollment.,
AMM 4630 - Apparel Research Project (1),Senior Standing; and STA 120 or STA 1200 .,AMM 4630A .
AMM 4420 - Internship (2),AMM 341 or AMM 3410 .,
AMM 4630A - Apparel Research Project Activity (2),Senior Standing; and STA 120 or STA 1200 .,AMM 4630 .
AMM 4680L - Innovative Textiles Laboratory (1),AMM 360 or AMM 3600; and AMM 360L or AMM 3600L.,AMM 4680.
AMM 4680 - Innovative Textiles (2),AMM 360 or AMM 3600; and AMM 360L or AMM 3600L.,AMM 4680L.
AMM 4600L - Textile Coloration Laboratory (1),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4600 .
AMM 3810L - Apparel Production I Laboratory (1),AMM 301 or AMM 2800 ; and AMM 301L or AMM 2800L .,AMM 3810 .
AMM 4600 - Textile Coloration (2),AMM 360 or AMM 3600 ; and AMM 360L or AMM 3600L .,AMM 4600L .
AMM 3810 - Apparel Production I (2),AMM 301 or AMM 2800 ; and AMM 301L or AMM 2800L .,AMM 3810L .
AMM 3600 - Textile Quality Assurance (1),"AMM 260 or AMM 2600; AMM 260L or AMM 2600L; CHM 121, CHM 1210, CHM 101, CHM 1010, PHY 102, or PHY 1020; and CHM 121L, CHM 1210L, CHM 101L, CHM 1010L, PHY 102, or PHY 1020.",AMM 3600L.
AMM 3600L - Textile Quality Assurance Laboratory (2),"AMM 260 or AMM 2600; AMM 260L or AMM 2600L; CHM 121, CHM 1210, CHM 101, CHM 1010, PHY 102, or PHY 1020; and CHM 121L, CHM 1210L, CHM 101L, CHM 1010L, PHY 102, or PHY 1020.",AMM 3600.
AMM 3410 - Apparel Professional Development (2),Junior standing.,
TOM 3020 - Statistical Foundations for Business Analytics (3),"STA 120, STA 1200 , or STA 1202 ; and MAT 125 or MAT 1250 , MAT 114 and MAT 115, or MAT 1140 .",
AMM 3550 - Data Management for Fashion Business (3),STA 120 or STA 1200 ; and CIS 101 or CIS 1010 .,
AMM 3100A - Design and Merchandising Strategies Activity (1),AMM 210 or AMM 1120 ; AMM 210A or AMM 1120L .,AMM 3100 .
